"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
" RNU6-162P ",2.12461,8.520115,23.971932463739,3.75877698707469e-10,8.03723075575687e-08,14.046955960278
" PRKD2 ",2.09841333333334,7.65518666666667,23.9163502760556,3.84545609958399e-10,8.11118566509607e-08,14.0242041846943
" ERN2 ",1.83659,8.31728166666667,23.9052890276492,3.86296652862086e-10,8.11118566509607e-08,14.0196691928028
" F2 ",1.89417,9.15536833333333,23.8340914793399,3.97779364964185e-10,8.21573525985225e-08,13.9904213483129
" RNU6-1207P ",1.95508333333333,7.89282833333333,23.8307594600293,3.98325861056036e-10,8.21573525985225e-08,13.9890501112949
" HLA-DRB1 ",1.60298,9.14411666666667,23.7657317126502,4.09158132672919e-10,8.36513034930503e-08,13.9622450411017
" GNA13 ",2.02357333333334,8.63881666666667,23.7009522915949,4.20271662227252e-10,8.4586675322638e-08,13.9354588509873
" LY6D ",1.8665,8.69077333333333,23.6968201819294,4.20991733703437e-10,8.4586675322638e-08,13.9337473934899
" TRIM22 ",2.09510333333334,9.135815,23.6646448708245,4.26645271815009e-10,8.49899260700207e-08,13.9204091979961
" FZD2 ",2.75988333333333,8.413825,23.5969171667107,4.38820285133653e-10,8.66744439458478e-08,13.8922650929223
" DDB2 ",2.21653333333333,7.33535333333333,23.5121437994098,4.54600421569348e-10,8.86865003247226e-08,13.8569076352846
" UCHL1 ",-1.59267,9.67933166666667,-23.5015421754785,4.56617326938976e-10,8.86865003247226e-08,13.852475672466
" FAM189A2 ",2.32903333333334,6.95741,23.4724112075725,4.62210142366073e-10,8.90308412241824e-08,13.8402858677971
" ASAP1 ",-1.55590666666667,10.0683133333333,-23.2491947392903,5.07649243834283e-10,9.64523871323854e-08,13.7463065995949
" RNU6-541P ",1.81324,9.70678,23.2428232673909,5.09016330599537e-10,9.64523871323854e-08,13.7436090390636
" RPN1 ",3.01300666666667,10.3797633333333,22.9300446327354,5.81369001346724e-10,1.09273929954743e-07,13.6101447754348
" CHRM3 ",1.84754333333333,10.261295,22.8667585918687,5.9734213823611e-10,1.107222474825e-07,13.5828899359841
" JAK1 ",1.8246,11.2138666666667,22.8549521846898,6.00375056024151e-10,1.107222474825e-07,13.5777959543488
" FAM183B ",2.86302,6.12994333333333,22.8435265456314,6.03326272376433e-10,1.107222474825e-07,13.5728634316273
" RNU1-70P ",-2.22983666666667,8.77155166666667,-22.7811732021414,6.19715387591821e-10,1.12417900880835e-07,13.5458959836362
" LOC642131 ",-1.70266,10.48107,-22.7718316069654,6.22212606239661e-10,1.12417900880835e-07,13.5418486352263
" DIRC1 ",-1.71594666666667,8.82763666666667,-22.6671582887935,6.50962845908534e-10,1.16707623458386e-07,13.496369517572
" RNU6-533P ",-2.00616333333333,8.017075,-22.6278592086969,6.62131180723745e-10,1.16926291484274e-07,13.4792335562989
" CANX ",-1.71577333333333,9.60328,-22.6140988556856,6.66091324533602e-10,1.16926291484274e-07,13.4732255843728
" RN7SKP266 ",1.50318666666666,9.11949333333333,22.6101489566327,6.67232881426541e-10,1.16926291484274e-07,13.4715002414152
" ZNF613 ",-1.84138666666667,9.70130666666667,-22.5901993698136,6.73031427345476e-10,1.17062264754784e-07,13.4627809462746
" SLED1 ",1.71844,8.35067,22.5680591539219,6.79531584589796e-10,1.17317352903958e-07,13.453094065977
" FZD10 ",-1.69073666666666,9.95573166666667,-22.5327405456765,6.90043998196203e-10,1.18256290190874e-07,13.4376192043609
" CNR2 ",1.66549666666667,9.55695166666667,22.4939294369425,7.01802381766573e-10,1.19393489867398e-07,13.4205826685571
" SMEK2 ",-2.4491,8.50832666666667,-22.4458697578923,7.16668758107686e-10,1.21039121342144e-07,13.3994406150215
" OR51F1 ",3.0457,9.06948333333333,22.4282226158187,7.22214122284017e-10,1.21098162216357e-07,13.3916646714625
" ZNF330 ",-1.92956333333333,8.509485,-22.3593193463027,7.44321684022342e-10,1.23655204422447e-07,13.3612377135536
" AP1G1 ",1.82343333333333,12.1087833333333,22.3478447442011,7.48074991357321e-10,1.23655204422447e-07,13.3561604495631
" KRT77 ",-1.81724666666667,7.03575333333333,-22.3246104767365,7.55738675829118e-10,1.24042262799643e-07,13.3458708434641
" CERK ",-1.6275,10.9657833333333,-22.3082554711062,7.61184982793747e-10,1.24062506251565e-07,13.3386206197649
" SNORD115-32 ",1.56958,8.42044666666667,22.2647983639203,7.75867051590862e-10,1.25577315079363e-07,13.319327021442
" SNRPGP10 ",-2.60847333333333,8.45971666666667,-22.2484335134384,7.81476339431718e-10,1.25612889952655e-07,13.3120506203602
" HSD3B2 ",1.75500666666667,9.09137333333333,22.1857557686395,8.03375717686363e-10,1.28248478439151e-07,13.2841264045484
" LINC00998 ",-1.6166,11.4481,-22.153177785397,8.15023888865348e-10,1.2922286923663e-07,13.2695774188248
" MVD ",1.63663,10.144785,22.1082797733078,8.31382142331542e-10,1.30925835076495e-07,13.2494872495327
" OR9I1 ",-2.14532666666667,10.35107,-22.0913155743626,8.3765650961574e-10,1.31028592413517e-07,13.2418845566857
" MUS81 ",1.84191333333333,10.6633433333333,21.9512166175065,8.91507451941042e-10,1.38522427882599e-07,13.1788477790974
" FAM170B ",1.51032333333334,10.4871383333333,21.9342780466539,8.98271853541463e-10,1.38649152917158e-07,13.1711960097974
" RNA5SP329 ",1.63072666666667,8.90631333333333,21.8949829185706,9.14182434269651e-10,1.40176644707387e-07,13.1534196227622
" SPDYE4 ",2.68249333333334,8.07504333333333,21.8297370250735,9.41288495761612e-10,1.43389614187686e-07,13.1238250924849
" RNU6-275P ",2.62033666666667,7.56621833333333,21.8015961009227,9.53250933560408e-10,1.44268957847353e-07,13.1110304497963
" CYP4X1 ",1.62655666666667,6.906805,21.7812129485812,9.62019871889604e-10,1.44656755833103e-07,13.1017515209933
" ZRANB3 ",-1.7412,8.66046333333333,-21.7499525628162,9.75640871193805e-10,1.45764498621244e-07,13.0875022538482
" RNU6-1255P ",1.90857333333333,8.21684333333333,21.7292782819936,9.84765521705557e-10,1.4619063703434e-07,13.078065906672
" TCEANC2 ",1.5338,7.49555666666667,21.6529238147766,1.01928602060068e-09,1.49932433072819e-07,13.0431289945994
" PMS1 ",-2.39297,6.973025,-21.6452315616174,1.02283678116352e-09,1.49932433072819e-07,13.0396017410343
" TRRAP ",1.51164666666667,9.46187666666667,21.6268121966271,1.03139453701616e-09,1.50241952963973e-07,13.0311499635998
" HIPK3 ",2.24832333333333,8.97565166666667,21.4526189906164,1.11632955222107e-09,1.60713036779351e-07,12.9508247796653
" PYROXD2 ",-1.83361666666667,8.78355166666667,-21.4511683813518,1.11706834677371e-09,1.60713036779351e-07,12.9501528401948
" FOXO1 ",1.51794333333333,9.65386166666667,21.4207814170758,1.13266851046613e-09,1.61957699223522e-07,12.9360656874044
" PDCD4 ",2.02186,7.41184,21.398970153964,1.14401352694622e-09,1.62582458978875e-07,12.9259405490798
